sequence_id,video_id,url,first_frame,last_frame,n_annotated_frames,source_height,dataset_annotation,gait_pattern_annotation,cam_view
cljvxcwbz004z3n6lmavy9xwl,AWS_zIFfGTg,https://www.youtube.com/watch?v=AWS_zIFfGTg,7380,7414,35,480,Abnormal Gait,abnormal,left side
cljvxduqs00533n6ly46hzkk8,AWS_zIFfGTg,https://www.youtube.com/watch?v=AWS_zIFfGTg,7487,7837,351,480,Abnormal Gait,abnormal,left side
cljvxflwd00573n6lpn9dt7mc,AWS_zIFfGTg,https://www.youtube.com/watch?v=AWS_zIFfGTg,7917,7937,21,480,Abnormal Gait,abnormal,right side
cljvxgo1n005b3n6l1bw4vydg,AWS_zIFfGTg,https://www.youtube.com/watch?v=AWS_zIFfGTg,9176,9243,68,480,Abnormal Gait,abnormal,left side
cljvxhzpm005f3n6lup499agk,AWS_zIFfGTg,https://www.youtube.com/watch?v=AWS_zIFfGTg,9656,9866,211,480,Abnormal Gait,abnormal,left side
cljvxijr4005i3n6l51ll5c0g,AWS_zIFfGTg,https://www.youtube.com/watch?v=AWS_zIFfGTg,9912,10103,192,480,Abnormal Gait,abnormal,left side
cljvxjkga005m3n6llroca6j3,AWS_zIFfGTg,https://www.youtube.com/watch?v=AWS_zIFfGTg,10641,11133,493,480,Abnormal Gait,abnormal,left side
cljvxkgf9005q3n6ls1lts5ug,AWS_zIFfGTg,https://www.youtube.com/watch?v=AWS_zIFfGTg,11325,11491,167,480,Abnormal Gait,abnormal,left side
cljvxl9n3005u3n6lqtp6f009,AWS_zIFfGTg,https://www.youtube.com/watch?v=AWS_zIFfGTg,11883,11982,100,480,Abnormal Gait,abnormal,left side
cljw2m5z500043n6lddrtk80j,AxImjrl7l_U,https://www.youtube.com/watch?v=AxImjrl7l_U,1,286,286,480,Abnormal Gait,inebriated,back
cljw2ochy00083n6l3ry9cvgy,AxImjrl7l_U,https://www.youtube.com/watch?v=AxImjrl7l_U,353,1002,650,480,Abnormal Gait,inebriated,back
cljw2tyvf000c3n6ln2i5ydos,AxImjrl7l_U,https://www.youtube.com/watch?v=AxImjrl7l_U,1292,1549,258,480,Abnormal Gait,inebriated,back
cljw2uzhq000g3n6l4hha2c1e,AxImjrl7l_U,https://www.youtube.com/watch?v=AxImjrl7l_U,1677,2031,355,480,Abnormal Gait,inebriated,back
cljw2vl73000k3n6lqkzk2mga,AxImjrl7l_U,https://www.youtube.com/watch?v=AxImjrl7l_U,2137,2988,852,480,Abnormal Gait,inebriated,back
cljw2wxoy000o3n6lby0fknus,AxImjrl7l_U,https://www.youtube.com/watch?v=AxImjrl7l_U,3163,3297,135,480,Abnormal Gait,inebriated,back
cljw2z31s000w3n6lni7ls140,AxImjrl7l_U,https://www.youtube.com/watch?v=AxImjrl7l_U,4886,5053,168,480,Abnormal Gait,inebriated,back
cljw30e2700143n6lx5ba2sma,AxImjrl7l_U,https://www.youtube.com/watch?v=AxImjrl7l_U,5460,5812,353,480,Abnormal Gait,inebriated,back
cljw3xegk00043n6l9kkmoeco,b0ljTBGJWnw,https://www.youtube.com/watch?v=b0ljTBGJWnw,78,392,315,480,Abnormal Gait,exercise,front
cljw3yogu00093n6lsap57tt4,b2n0USprXmQ,https://www.youtube.com/watch?v=b2n0USprXmQ,224,869,646,360,Abnormal Gait,prosthetic,back
cljw3ziud000d3n6lavym94ol,b2n0USprXmQ,https://www.youtube.com/watch?v=b2n0USprXmQ,874,1304,431,360,Abnormal Gait,prosthetic,back
cljw3zyxa000h3n6lrlj0pgvo,b2n0USprXmQ,https://www.youtube.com/watch?v=b2n0USprXmQ,1318,1875,558,360,Abnormal Gait,prosthetic,front
cljw40lsw000l3n6l0mit7gid,b2n0USprXmQ,https://www.youtube.com/watch?v=b2n0USprXmQ,1885,2248,364,360,Abnormal Gait,prosthetic,front
cljw413ht000p3n6l2nrixlh6,b2n0USprXmQ,https://www.youtube.com/watch?v=b2n0USprXmQ,2256,2393,138,360,Abnormal Gait,prosthetic,front
cljw4219w000t3n6lid99z8il,b2n0USprXmQ,https://www.youtube.com/watch?v=b2n0USprXmQ,2843,3102,260,360,Abnormal Gait,prosthetic,right side
cljw42r0i000x3n6lqcqfmipc,b2n0USprXmQ,https://www.youtube.com/watch?v=b2n0USprXmQ,3111,3328,218,360,Abnormal Gait,prosthetic,front
cljw43jb900123n6lewjt9vqg,B3ohGeUR0XY,https://www.youtube.com/watch?v=B3ohGeUR0XY,41,255,215,360,Abnormal Gait,exercise,right side
cljw448vx00163n6lhm5vmfhm,B3ohGeUR0XY,https://www.youtube.com/watch?v=B3ohGeUR0XY,298,506,209,360,Abnormal Gait,exercise,left side
cljw456fl001b3n6lgrikkdsg,B4rOTkTPbMI,https://www.youtube.com/watch?v=B4rOTkTPbMI,87,194,108,480,Abnormal Gait,stroke,back
cljw461m9001f3n6l0o9gjzvg,B4rOTkTPbMI,https://www.youtube.com/watch?v=B4rOTkTPbMI,262,388,127,480,Abnormal Gait,stroke,front
cljw46iz7001k3n6ln8mclrmb,b7VSPvw4FvE,https://www.youtube.com/watch?v=b7VSPvw4FvE,1,219,219,720,Abnormal Gait,exercise,right side
cljw47neo001o3n6ll8fh5krg,b7VSPvw4FvE,https://www.youtube.com/watch?v=b7VSPvw4FvE,294,491,198,720,Abnormal Gait,exercise,left side
cljw488gl001t3n6l5ogfho3h,b46xmMgdtnY,https://www.youtube.com/watch?v=b46xmMgdtnY,1,138,138,480,Abnormal Gait,abnormal,left side
cljw48sqo001x3n6lui1j6arn,b46xmMgdtnY,https://www.youtube.com/watch?v=b46xmMgdtnY,178,303,126,480,Abnormal Gait,abnormal,right side
cljw498vp00213n6lke1u98jj,b46xmMgdtnY,https://www.youtube.com/watch?v=b46xmMgdtnY,357,489,133,480,Abnormal Gait,abnormal,left side
cljw4a7sh00263n6l26jwdqpf,BGMTJ8NJAxA,https://www.youtube.com/watch?v=BGMTJ8NJAxA,1,453,453,360,Abnormal Gait,prosthetic,back
cljw4az3t002a3n6l7j3i4lee,BGMTJ8NJAxA,https://www.youtube.com/watch?v=BGMTJ8NJAxA,506,914,409,360,Abnormal Gait,prosthetic,front
cljw4bg4q002e3n6lkugx2mrd,BGMTJ8NJAxA,https://www.youtube.com/watch?v=BGMTJ8NJAxA,932,1920,989,360,Abnormal Gait,prosthetic,back
cljw4bvwa002i3n6l11cwtwxq,BGMTJ8NJAxA,https://www.youtube.com/watch?v=BGMTJ8NJAxA,1982,3014,1033,360,Abnormal Gait,prosthetic,front
cljw614kh002n3n6l98x3nnr6,bmi1hYOnTHs,https://www.youtube.com/watch?v=bmi1hYOnTHs,147,333,187,480,Abnormal Gait,parkinsons,front
cljw61mqp002r3n6ly9axf1b2,bmi1hYOnTHs,https://www.youtube.com/watch?v=bmi1hYOnTHs,363,459,97,480,Abnormal Gait,parkinsons,front
cljw6392x002v3n6l2cmbbtj8,bmi1hYOnTHs,https://www.youtube.com/watch?v=bmi1hYOnTHs,758,922,165,480,Abnormal Gait,parkinsons,front
cljw63z1r002z3n6ls929nezr,bmi1hYOnTHs,https://www.youtube.com/watch?v=bmi1hYOnTHs,2198,2274,77,480,Abnormal Gait,parkinsons,front
cljw65m0800333n6lpxsiegdj,bmi1hYOnTHs,https://www.youtube.com/watch?v=bmi1hYOnTHs,2745,3233,489,480,Abnormal Gait,parkinsons,left side
cljw66tru00363n6lul1gvz3v,bmi1hYOnTHs,https://www.youtube.com/watch?v=bmi1hYOnTHs,3825,4177,353,480,Abnormal Gait,parkinsons,front
cljw69f3h003a3n6lk2qd3f08,bmi1hYOnTHs,https://www.youtube.com/watch?v=bmi1hYOnTHs,5413,5707,295,480,Abnormal Gait,parkinsons,right side
cljw6a6on003e3n6l34f95ehd,bmi1hYOnTHs,https://www.youtube.com/watch?v=bmi1hYOnTHs,6401,6521,121,480,Abnormal Gait,parkinsons,front
cljw6dlqu00043n6lth228e1x,By95MlAGTjE,https://www.youtube.com/watch?v=By95MlAGTjE,20,144,125,480,Abnormal Gait,abnormal,left side
cljw6e97y00083n6lopyf3zqt,By95MlAGTjE,https://www.youtube.com/watch?v=By95MlAGTjE,190,266,77,480,Abnormal Gait,abnormal,right side
cljw6f07a000c3n6l2ayhqj3o,By95MlAGTjE,https://www.youtube.com/watch?v=By95MlAGTjE,274,375,102,480,Abnormal Gait,abnormal,left side
cljw6gacy000g3n6lot0jsum0,By95MlAGTjE,https://www.youtube.com/watch?v=By95MlAGTjE,691,727,37,480,Abnormal Gait,abnormal,right side
cljw6hftm000k3n6l1whdg71z,By95MlAGTjE,https://www.youtube.com/watch?v=By95MlAGTjE,947,994,48,480,Abnormal Gait,abnormal,left side
cljw6hu10000o3n6l4cmx3ypi,By95MlAGTjE,https://www.youtube.com/watch?v=By95MlAGTjE,996,1038,43,480,Abnormal Gait,abnormal,right side
cljw6ilc7000s3n6l6iyc9ju4,By95MlAGTjE,https://www.youtube.com/watch?v=By95MlAGTjE,1043,1083,41,480,Abnormal Gait,abnormal,right side
cljw6jpnw000w3n6lvibo5ynh,By95MlAGTjE,https://www.youtube.com/watch?v=By95MlAGTjE,1471,1564,94,480,Abnormal Gait,abnormal,right side
cljw6khdg00103n6ljsgnaaq3,By95MlAGTjE,https://www.youtube.com/watch?v=By95MlAGTjE,1819,1882,64,480,Abnormal Gait,abnormal,right side
cljw6n7mg00173n6lnk3lmru5,cAETIJSUobY,https://www.youtube.com/watch?v=cAETIJSUobY,14,228,215,360,Abnormal Gait,exercise,right side
cljw6nqn7001b3n6liypqmvgj,cAETIJSUobY,https://www.youtube.com/watch?v=cAETIJSUobY,360,631,272,360,Abnormal Gait,exercise,left side
cljw6om0e001f3n6l395dmbg4,cAETIJSUobY,https://www.youtube.com/watch?v=cAETIJSUobY,746,1008,263,360,Abnormal Gait,exercise,right side
cljw6phvc001k3n6l65kgd53c,cegLAYxNO1E,https://www.youtube.com/watch?v=cegLAYxNO1E,70,309,240,720,Abnormal Gait,exercise,left side
cljw6qeiv001o3n6lo9dcmmeg,cegLAYxNO1E,https://www.youtube.com/watch?v=cegLAYxNO1E,331,551,221,720,Abnormal Gait,exercise,left side
cljw6r61s001t3n6luv0xuqsw,Ci73SIVET50,https://www.youtube.com/watch?v=Ci73SIVET50,314,462,149,480,Abnormal Gait,inebriated,left side
cljw6rump001x3n6lutuft47b,Ci73SIVET50,https://www.youtube.com/watch?v=Ci73SIVET50,556,604,49,480,Abnormal Gait,inebriated,left side
cljw6sanb00213n6lzcmw192b,Ci73SIVET50,https://www.youtube.com/watch?v=Ci73SIVET50,639,871,233,480,Abnormal Gait,inebriated,left side
cljw6t22j00253n6lqj29g2uu,Ci73SIVET50,https://www.youtube.com/watch?v=Ci73SIVET50,1078,1157,80,480,Abnormal Gait,inebriated,left side
cljw6tpgu00293n6lhjzerp7d,Ci73SIVET50,https://www.youtube.com/watch?v=Ci73SIVET50,1187,1278,92,480,Abnormal Gait,inebriated,left side
cljw6u6lf002d3n6lo0tu78zp,Ci73SIVET50,https://www.youtube.com/watch?v=Ci73SIVET50,1280,1361,82,480,Abnormal Gait,inebriated,back
cljw6utb3002i3n6ll0pspyhl,CMls0LwK5OU,https://www.youtube.com/watch?v=CMls0LwK5OU,1,207,207,270,Abnormal Gait,stroke,front
cljw6vv80002m3n6l14b2y4jg,CMls0LwK5OU,https://www.youtube.com/watch?v=CMls0LwK5OU,493,715,223,270,Abnormal Gait,stroke,front
cljw6wq8o002q3n6lo4lmi8vd,CMls0LwK5OU,https://www.youtube.com/watch?v=CMls0LwK5OU,758,914,157,270,Abnormal Gait,stroke,right side
cljw6xyo3002u3n6lyl23l27l,CMls0LwK5OU,https://www.youtube.com/watch?v=CMls0LwK5OU,1667,1955,289,270,Abnormal Gait,stroke,left side
cljw6yqg200313n6l6u9humd4,CMls0LwK5OU,https://www.youtube.com/watch?v=CMls0LwK5OU,1958,2140,183,270,Abnormal Gait,stroke,front
cljw6zrh800353n6l76psqelc,cqbQi5BTsSw,https://www.youtube.com/watch?v=cqbQi5BTsSw,1,270,270,480,Abnormal Gait,abnormal,left side
cljw70c2t00393n6l8ou5prmf,cqbQi5BTsSw,https://www.youtube.com/watch?v=cqbQi5BTsSw,309,574,266,480,Abnormal Gait,abnormal,right side
cljw70yj4003d3n6lzhjn55nb,cqbQi5BTsSw,https://www.youtube.com/watch?v=cqbQi5BTsSw,590,1666,1077,480,Abnormal Gait,abnormal,left side
cljw7257w003h3n6lgnsitrvd,cqbQi5BTsSw,https://www.youtube.com/watch?v=cqbQi5BTsSw,1805,2897,1093,480,Abnormal Gait,abnormal,right side
cljw73je6003m3n6l9d63qd2a,CrToYDUN89A,https://www.youtube.com/watch?v=CrToYDUN89A,291,389,99,360,Abnormal Gait,abnormal,left side
cljw743d9003q3n6l8tpmdqtf,CrToYDUN89A,https://www.youtube.com/watch?v=CrToYDUN89A,524,950,427,360,Abnormal Gait,abnormal,right side
cljw74mqw003u3n6lmj3h1v6x,CrToYDUN89A,https://www.youtube.com/watch?v=CrToYDUN89A,1192,1580,389,360,Abnormal Gait,abnormal,left side
cljw75out003z3n6ldarll2qz,cWujgb8jHNE,https://www.youtube.com/watch?v=cWujgb8jHNE,1,175,175,360,Abnormal Gait,myopathic,front
cljw76g4e00443n6lfbboyczo,dc7cnLxbpKU,https://www.youtube.com/watch?v=dc7cnLxbpKU,1,164,164,480,Abnormal Gait,stroke,front
cljw771mg00483n6lnajrytho,dc7cnLxbpKU,https://www.youtube.com/watch?v=dc7cnLxbpKU,250,412,163,480,Abnormal Gait,stroke,back
cljw77snx004c3n6lvetndlu2,dc7cnLxbpKU,https://www.youtube.com/watch?v=dc7cnLxbpKU,421,570,150,480,Abnormal Gait,stroke,front
cljw78k2f004h3n6lsbwyu559,DcHU3z0v63M,https://www.youtube.com/watch?v=DcHU3z0v63M,2,131,130,854,Abnormal Gait,abnormal,back
cljw79f1u004l3n6l6qctcevn,DcHU3z0v63M,https://www.youtube.com/watch?v=DcHU3z0v63M,216,450,235,854,Abnormal Gait,abnormal,front
cljw7a2mf004q3n6l5u1wps0e,ddMHjYSIQsM,https://www.youtube.com/watch?v=ddMHjYSIQsM,1,200,200,720,Abnormal Gait,exercise,right side
cljw7ajrd004u3n6ltrzrbk92,ddMHjYSIQsM,https://www.youtube.com/watch?v=ddMHjYSIQsM,273,478,206,720,Abnormal Gait,exercise,left side
cljw7c11f004z3n6ldnwe9cqj,d-jXLtMnqGY,https://www.youtube.com/watch?v=d-jXLtMnqGY,486,637,152,360,Abnormal Gait,exercise,right side
cljw7cy8n00573n6logmpj8qf,d-jXLtMnqGY,https://www.youtube.com/watch?v=d-jXLtMnqGY,732,847,116,360,Abnormal Gait,exercise,left side
cljw7drsi005f3n6l5aaw5d6j,d-jXLtMnqGY,https://www.youtube.com/watch?v=d-jXLtMnqGY,1024,1135,112,360,Abnormal Gait,exercise,left side
cljw7ewnf005o3n6ltnxeqg54,DnPpm_VKqhI,https://www.youtube.com/watch?v=DnPpm_VKqhI,103,406,304,480,Abnormal Gait,exercise,left side
cljw7gpfm005t3n6lfh2c2fbe,Duy4Y8vRZ0I,https://www.youtube.com/watch?v=Duy4Y8vRZ0I,29,218,190,360,Abnormal Gait,abnormal,back
cljw7hh02005x3n6lt2o9ycfs,Duy4Y8vRZ0I,https://www.youtube.com/watch?v=Duy4Y8vRZ0I,273,457,185,360,Abnormal Gait,abnormal,front
cljw7jxyk00663n6la0rfq89w,dvfeYnWVD08,https://www.youtube.com/watch?v=dvfeYnWVD08,380,464,85,720,Abnormal Gait,stroke,left side
cljw7knmw006a3n6lz5gfb0bo,dvfeYnWVD08,https://www.youtube.com/watch?v=dvfeYnWVD08,474,700,227,720,Abnormal Gait,stroke,front
cljw7lvm6006f3n6lme1qtv2g,dXAvAA556gE,https://www.youtube.com/watch?v=dXAvAA556gE,758,836,79,480,Abnormal Gait,cerebral palsy,front
cljw7mjyv006j3n6lr6d34gvu,dXAvAA556gE,https://www.youtube.com/watch?v=dXAvAA556gE,858,912,55,480,Abnormal Gait,cerebral palsy,back
cljw7ndde006n3n6lfm5x8fuv,dXAvAA556gE,https://www.youtube.com/watch?v=dXAvAA556gE,1210,1441,232,480,Abnormal Gait,cerebral palsy,front
cljw7orya006s3n6lopenf75e,dxRMtNtjwCc,https://www.youtube.com/watch?v=dxRMtNtjwCc,685,1335,651,480,Abnormal Gait,parkinsons,right side
cljw7pk60006w3n6lud1dvft9,dxRMtNtjwCc,https://www.youtube.com/watch?v=dxRMtNtjwCc,1347,1603,257,480,Abnormal Gait,parkinsons,right side
cljw7q1kn00703n6lo6plljo9,dxRMtNtjwCc,https://www.youtube.com/watch?v=dxRMtNtjwCc,1894,2224,331,480,Abnormal Gait,parkinsons,left side
cljw7r04700753n6ljc4jrdyl,eBvzFkcvScg,https://www.youtube.com/watch?v=eBvzFkcvScg,27,92,66,204,Abnormal Gait,stroke,left side
cljw7rexn00793n6l1q6fmh8e,eBvzFkcvScg,https://www.youtube.com/watch?v=eBvzFkcvScg,116,191,76,204,Abnormal Gait,stroke,right side
cljw7rzbm007d3n6lanxu4gf4,eBvzFkcvScg,https://www.youtube.com/watch?v=eBvzFkcvScg,222,277,56,204,Abnormal Gait,stroke,left side
cljw7shbo007h3n6lhj6j73z3,eBvzFkcvScg,https://www.youtube.com/watch?v=eBvzFkcvScg,308,365,58,204,Abnormal Gait,stroke,right side
cljw7swdz007l3n6larz6jybg,eBvzFkcvScg,https://www.youtube.com/watch?v=eBvzFkcvScg,398,445,48,204,Abnormal Gait,stroke,left side
cljw7tfqg007p3n6l0nwqb8w1,eBvzFkcvScg,https://www.youtube.com/watch?v=eBvzFkcvScg,478,569,92,204,Abnormal Gait,stroke,right side
cljw7u9tn007u3n6lq4pt7x51,eC5rBFti78M,https://www.youtube.com/watch?v=eC5rBFti78M,221,384,164,360,Abnormal Gait,exercise,right side
cljw7uo8h007y3n6lyok5axbw,eC5rBFti78M,https://www.youtube.com/watch?v=eC5rBFti78M,433,564,132,360,Abnormal Gait,exercise,left side
cljwbcjvq00043n6lllxhr535,EjPUpKUbZSg,https://www.youtube.com/watch?v=EjPUpKUbZSg,1,307,307,480,Abnormal Gait,abnormal,back
cljwbdhda00093n6lz1d59m25,eOe2AgVK5xI,https://www.youtube.com/watch?v=eOe2AgVK5xI,455,605,151,480,Abnormal Gait,abnormal,back
cljwbentj000d3n6lkdzqc77e,eOe2AgVK5xI,https://www.youtube.com/watch?v=eOe2AgVK5xI,791,1042,252,480,Abnormal Gait,abnormal,right side
cljwbftxx000h3n6lv1v7w0ux,eOe2AgVK5xI,https://www.youtube.com/watch?v=eOe2AgVK5xI,1232,1468,237,480,Abnormal Gait,abnormal,back
cljwbgqhk000l3n6lyl2bs2we,eOe2AgVK5xI,https://www.youtube.com/watch?v=eOe2AgVK5xI,1885,2058,174,480,Abnormal Gait,abnormal,back
cljwbhsda000p3n6lo07fktzr,eOe2AgVK5xI,https://www.youtube.com/watch?v=eOe2AgVK5xI,2364,2495,132,480,Abnormal Gait,abnormal,front
cljwbiep2000t3n6l0xm73f73,eOe2AgVK5xI,https://www.youtube.com/watch?v=eOe2AgVK5xI,2632,2718,87,480,Abnormal Gait,abnormal,right side
cljwbiw4g000x3n6lzn7gplp8,eOe2AgVK5xI,https://www.youtube.com/watch?v=eOe2AgVK5xI,2728,2936,209,480,Abnormal Gait,abnormal,back
cljwbkl5u00113n6lq6juqm6c,eOe2AgVK5xI,https://www.youtube.com/watch?v=eOe2AgVK5xI,3317,3476,160,480,Abnormal Gait,abnormal,back
cljwbmxjq00163n6lbdlems0m,es5nSkAx4p4,https://www.youtube.com/watch?v=es5nSkAx4p4,550,903,354,360,Abnormal Gait,abnormal,front
cljwbp6ll001b3n6lcbxh7liq,Exqj0M000S8,https://www.youtube.com/watch?v=Exqj0M000S8,121,155,35,480,Abnormal Gait,stroke,front
cljwbqprx001f3n6l49fulwhf,Exqj0M000S8,https://www.youtube.com/watch?v=Exqj0M000S8,7040,7194,155,480,Abnormal Gait,stroke,back
cljwbrss4001k3n6l6oaj5ayy,f1Jt0xVqvtI,https://www.youtube.com/watch?v=f1Jt0xVqvtI,322,584,263,480,Abnormal Gait,exercise,front
cljwbsax5001o3n6lgoj7f57r,f1Jt0xVqvtI,https://www.youtube.com/watch?v=f1Jt0xVqvtI,593,869,277,480,Abnormal Gait,exercise,front
cljwbtjtg001t3n6lg3w779jv,f8h2nkV0R8A,https://www.youtube.com/watch?v=f8h2nkV0R8A,2779,2972,194,480,Abnormal Gait,cerebral palsy,back
cljwcn068001y3n6lrm6qqj8o,FElCDD3X8pI,https://www.youtube.com/watch?v=FElCDD3X8pI,1,887,887,480,Abnormal Gait,myopathic,left side
cljwcp4ds00233n6lr9hvtf73,FoWTST-lrZw,https://www.youtube.com/watch?v=FoWTST-lrZw,388,686,299,360,Abnormal Gait,exercise,left side
cljwcqyw500283n6lcmqv13n0,FpXbeLZWFSw,https://www.youtube.com/watch?v=FpXbeLZWFSw,1982,3345,1364,480,Abnormal Gait,stroke,front
cljwcrswx002c3n6lwn7iv6br,FpXbeLZWFSw,https://www.youtube.com/watch?v=FpXbeLZWFSw,3477,4877,1401,480,Abnormal Gait,stroke,back
cljwcsw38002g3n6l088m4lb7,FpXbeLZWFSw,https://www.youtube.com/watch?v=FpXbeLZWFSw,4986,6400,1415,480,Abnormal Gait,stroke,front
cljwctrwx002k3n6lv7z0eodd,FpXbeLZWFSw,https://www.youtube.com/watch?v=FpXbeLZWFSw,6535,7993,1459,480,Abnormal Gait,stroke,back
cljwcu98s002o3n6lgvojbey3,FpXbeLZWFSw,https://www.youtube.com/watch?v=FpXbeLZWFSw,8113,9580,1468,480,Abnormal Gait,stroke,front
cljwcurcc002s3n6lvrwlkbni,FpXbeLZWFSw,https://www.youtube.com/watch?v=FpXbeLZWFSw,9702,11179,1478,480,Abnormal Gait,stroke,back
cljwcvfg5002w3n6lo9eg0k8w,FpXbeLZWFSw,https://www.youtube.com/watch?v=FpXbeLZWFSw,11290,12808,1519,480,Abnormal Gait,stroke,front
cljwcx6nj00043n6l90obz35w,F-T39hlQ6i0,https://www.youtube.com/watch?v=F-T39hlQ6i0,71,233,163,360,Abnormal Gait,exercise,right side
cljwcxjlo00083n6lkqia9zx0,F-T39hlQ6i0,https://www.youtube.com/watch?v=F-T39hlQ6i0,313,489,177,360,Abnormal Gait,exercise,left side
cljwcz4en000d3n6lf1g0j311,fTfkU1gJLO4,https://www.youtube.com/watch?v=fTfkU1gJLO4,1,118,118,480,Abnormal Gait,abnormal,back
cljwczhuy000h3n6l84ebe3ao,fTfkU1gJLO4,https://www.youtube.com/watch?v=fTfkU1gJLO4,189,436,248,480,Abnormal Gait,abnormal,front
cljwd0g2x000m3n6lgzb8jcwo,FtpcgPPcySk,https://www.youtube.com/watch?v=FtpcgPPcySk,1,100,100,360,Abnormal Gait,abnormal,back
cljwd0zll000q3n6lg38q5kzy,FtpcgPPcySk,https://www.youtube.com/watch?v=FtpcgPPcySk,125,247,123,360,Abnormal Gait,abnormal,front
cljwd1n5o000u3n6lo2vje4yj,FtpcgPPcySk,https://www.youtube.com/watch?v=FtpcgPPcySk,991,1258,268,360,Abnormal Gait,abnormal,back
cljwd2k4l000y3n6lp5jngk5e,FtpcgPPcySk,https://www.youtube.com/watch?v=FtpcgPPcySk,1369,1541,173,360,Abnormal Gait,abnormal,front
cljwd3oac00123n6llcxe2tg1,G0RIf53oyBw,https://www.youtube.com/watch?v=G0RIf53oyBw,205,310,106,360,Abnormal Gait,antalgic,back
cljwd49i700163n6lxv579o8a,G0RIf53oyBw,https://www.youtube.com/watch?v=G0RIf53oyBw,359,497,139,360,Abnormal Gait,antalgic,front
cljwd53nu001a3n6l8lu2lz3u,G0RIf53oyBw,https://www.youtube.com/watch?v=G0RIf53oyBw,588,695,108,360,Abnormal Gait,antalgic,back
cljwd5h2s001e3n6l14zums1l,G0RIf53oyBw,https://www.youtube.com/watch?v=G0RIf53oyBw,732,875,144,360,Abnormal Gait,antalgic,front
cljwd6kxa001i3n6lm1mk8bg8,gBvMHns6N90,https://www.youtube.com/watch?v=gBvMHns6N90,58,241,184,854,Abnormal Gait,abnormal,front
cljwd7gqa001m3n6lteailldg,gBvMHns6N90,https://www.youtube.com/watch?v=gBvMHns6N90,266,437,172,854,Abnormal Gait,abnormal,front
cljwd7wey001q3n6lgwlba49x,gBvMHns6N90,https://www.youtube.com/watch?v=gBvMHns6N90,449,572,124,854,Abnormal Gait,abnormal,front
cljwd8jby001u3n6lizluv10f,gBvMHns6N90,https://www.youtube.com/watch?v=gBvMHns6N90,599,836,238,854,Abnormal Gait,abnormal,front
cljwd92y7001y3n6lz7l3kpb7,gBvMHns6N90,https://www.youtube.com/watch?v=gBvMHns6N90,840,1015,176,854,Abnormal Gait,abnormal,front
cljwno0m600043n6lq54umusu,-oJM2wUUjws,https://www.youtube.com/watch?v=-oJM2wUUjws,2,203,202,480,Abnormal Gait,parkinsons,front
cljwnp5ai000c3n6lqhuqij08,-oJM2wUUjws,https://www.youtube.com/watch?v=-oJM2wUUjws,627,750,124,480,Abnormal Gait,parkinsons,back
cljwnqgpo000h3n6ljjl2gyh2,ONUjYikzmNE,https://www.youtube.com/watch?v=ONUjYikzmNE,1,192,192,720,Abnormal Gait,exercise,front
cljwr30g000043n6ls0cp5ety,OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE,1,113,113,480,Abnormal Gait,normal,left side
cljwr3nzm00083n6lt90ynbix,OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE,156,256,101,480,Abnormal Gait,normal,right side
cljwr3zxa000c3n6l3s75sppt,OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE,301,419,119,480,Abnormal Gait,normal,left side
cljwr4g4a000g3n6lp1himnx5,OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE,473,569,97,480,Abnormal Gait,normal,right side
cljwr52cx000k3n6lkhlqiy7m,OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE,617,748,132,480,Abnormal Gait,normal,left side
cljwr5ix0000o3n6luidaxct4,OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE,798,902,105,480,Abnormal Gait,normal,right side
cljwr7n4o000w3n6lqxx0iv86,L26I5sHvleg,https://www.youtube.com/watch?v=L26I5sHvleg,1,284,284,480,Abnormal Gait,myopathic,back
cljwr8nhk00113n6lhe98we1e,lhDa_7coFz4,https://www.youtube.com/watch?v=lhDa_7coFz4,1,456,456,480,Abnormal Gait,inebriated,right side
cljwr9rrl00163n6lt054x4sf,lkr-EBeDC3I,https://www.youtube.com/watch?v=lkr-EBeDC3I,150,302,153,360,Abnormal Gait,myopathic,front
cljwraiju001a3n6l55k44i9k,lkr-EBeDC3I,https://www.youtube.com/watch?v=lkr-EBeDC3I,363,520,158,360,Abnormal Gait,myopathic,back
cljwrbegv001e3n6l2d7a3018,lkr-EBeDC3I,https://www.youtube.com/watch?v=lkr-EBeDC3I,553,646,94,360,Abnormal Gait,myopathic,left side
cljwrcrjm001n3n6lpfcn7b9t,lSXuxyrywwY,https://www.youtube.com/watch?v=lSXuxyrywwY,1,301,301,480,Abnormal Gait,abnormal,back
cljwrdzna001r3n6l0rabjj56,lSXuxyrywwY,https://www.youtube.com/watch?v=lSXuxyrywwY,473,744,272,480,Abnormal Gait,abnormal,front
cljwreup5001v3n6lv1gnmnpu,lSXuxyrywwY,https://www.youtube.com/watch?v=lSXuxyrywwY,939,1170,232,480,Abnormal Gait,abnormal,back
cljwrfyf600203n6ld19mo3ez,M-_cogKwXK4,https://www.youtube.com/watch?v=M-_cogKwXK4,2876,4132,1257,480,Abnormal Gait,parkinsons,back
